"Player","Role_Type","Mat","Runs","SR","Avg","B_Wkts","B_Econ","TotalValue","optimal_bid","TotalValue_cr","optimal_bid_cr"
"BMAJ Mendis","Batsman",3,23,85.19,7.67,1,7.2,2e+05,20000,0.02,0
"BR Dunk","Batsman",3,40,114.29,13.33,0,9.29654545454545,7584001.57754482,758400.157754482,0.76,0.08
"BR Sharath","Batsman",1,2,40,2,0,9.29654545454545,2e+05,20000,0.02,0
"Basil Thampi","Bowler",7,32,91.43,32,22,9.74,2e+05,20000,0.02,0
"Bipul Sharma","Batsman",17,187,152.03,31.17,17,8.06,13974510.1180454,1397451.01180454,1.4,0.14
"C Bosch","Batsman",2,47,146.88,23.5,1,7.86,5559803.93318572,555980.393318572,0.56,0.06
"C Green","Batsman",28,699,152.95,41.12,16,9.08,21729178.496979,2172917.8496979,2.17,0.22
"C Madan","Batsman",1,14,77.78,14,0,9.29654545454545,2e+05,20000,0.02,0
"C Munro","Batsman",11,177,125.53,19.67,0,7.5,3033668.18154942,303366.818154942,0.3,0.03
"C Nanda","Batsman",1,0,0,0,2,7.12,2e+05,20000,0.02,0
"C Sakariya","Batsman",7,20,66.67,4,20,8.62,7806884.40227468,780688.440227468,0.78,0.08
"C de Grandhomme","Batsman",21,297,132.59,21.21,6,8.86,15051935.7326622,1505193.57326622,1.51,0.15
"CA Ingram","Batsman",15,205,114.53,17.08,0,9.29654545454545,8642967.53017065,864296.753017065,0.86,0.09
"CA Lynn","Batsman",42,1317,139.96,34.66,0,9.29654545454545,29363989.8781969,2936398.98781969,2.94,0.29
"CA Pujara","Batsman",22,390,100,21.67,0,9.29654545454545,4828689.75569096,482868.975569096,0.48,0.05
"CH Gayle","Batsman",141,4956,148.78,40.29,18,7.9,119028413.558433,11902841.3558433,11.9,1.19
"CH Morris","All rounder",49,612,154.16,21.86,96,8.03,75103071.6637753,7510307.16637753,7.51,0.75
"CJ Anderson","Batsman",29,538,127.79,24.45,11,10.46,25156131.3991954,2515613.13991954,2.52,0.25
"CJ Ferguson","Batsman",8,98,83.76,16.33,0,9.29654545454545,2e+05,20000,0.02,0
"CJ Jordan","Bowler",12,81,105.19,9,30,9.62,26608335.269053,2660833.5269053,2.66,0.27
"CJ McKay","Batsman",1,8,53.33,8,1,8.57,2e+05,20000,0.02,0
"CK Kapugedera","Batsman",3,16,72.73,5.33,0,17.29,28599523.7399758,2859952.37399758,2.86,0.29
"CK Langeveldt","Batsman",2,8,88.89,4,13,7.19,5650132.3117513,565013.23117513,0.57,0.06
"CL White","Batsman",45,962,127.08,28.29,1,12.29,33057407.3055174,3305740.73055174,3.31,0.33
"CM Gautam","Batsman",13,169,113.42,18.78,0,9.29654545454545,6104798.27887461,610479.827887461,0.61,0.06
"CR Brathwaite","Batsman",14,180,163.64,13.85,13,8.95,32042864.9946758,3204286.49946758,3.2,0.32
"CR Woakes","Bowler",12,78,101.3,15.6,30,8.97,17815940.5854826,1781594.05854826,1.78,0.18
"CRD Fernando","Batsman",2,4,133.33,2,17,7.64,25025844.2378984,2502584.42378984,2.5,0.25
"CV Varun","Bowler",11,26,55.32,13,100,7.58,37314140.8902447,3731414.08902447,3.73,0.37
"D Brevis","Batsman",16,455,153.2,28.44,1,16,42433103.1377013,4243310.31377013,4.24,0.42
"D Ferreira","Batsman",3,9,64.29,3,0,9.29654545454545,2e+05,20000,0.02,0
"D Kalyankrishna","Batsman",1,3,37.5,3,2,10.88,2e+05,20000,0.02,0
